Unis,real_fuorisede/totale
Milano Bocconi,75.16838796587338
Roma Saint Camillus,65.25265127885214
Milano San Raffaele,59.80476600631639
Bologna,59.34150922549995
Trieste,58.11318268660649
Bra Scienze Gastronomiche,55.32786885245902
Ferrara,53.01103981507313
Milano Politecnico,51.80372381691234
Torino Politecnico,51.07833713805119
Roma LUISS,50.374627938006775
Rozzano (MI) Humanitas University,48.541510845175765
Siena Stranieri,48.32325453545904
Milano IULM,47.601317485321495
Venezia Iuav,47.01754385964912
Chieti e Pescara,42.89264888633974
Siena,42.17304925669658
Parma,40.7697559923815
Urbino,40.34972197834358
Pisa,39.381873340917714
Roma Biomedico,39.13435527502254
Marche,38.94158761857214
Milano Cattolica,38.502700415640014
Pavia,37.87996211142685
Perugia Stranieri,36.407766990291265
Roma UNINT,36.33265167007498
Ca' Foscari Venezia,35.27504812075777
Enna KORE,33.05029392553887
Messina,32.962930428671825
Piemonte Orientale,32.52401876815372
Trento,32.398289712360715
Teramo,32.004264392324096
Camerino,31.248743213352103
Milano,30.741984528762135
Modena e Reggio Emilia,28.782639799689996
Cagliari,28.54596700654895
Castellanza LIUC,28.31348444102958
Milano Bicocca,27.39706011280283
Bolzano,26.40633533588203
Padova,26.322859569211765
Perugia,25.500555108916195
Roma LUMSA,24.585282858358145
Firenze,24.50435085951278
Calabria,22.52913249892102
Roma Link Campus,22.32704402515723
Torino,22.20263281617301
L'Aquila,21.7056254816337
Macerata,20.51504003462454
Roma Europea,20.433092726263187
Roma La Sapienza,19.83318236714976
Udine,19.053800663493437
Roma Tor Vergata,18.931297709923665
Cassino,17.46787931283384
Tuscia,17.33259083948211
Reggio Calabria - Dante Alighieri,15.659955257270694
Roma Foro Italico,15.13094083414161
Genova,14.949761159611267
Molise,13.82451654147355
Napoli L'Orientale,13.67893907075953
Roma Tre,12.084166366228573
Verona,11.804787398787663
Bari Politecnico,10.791957324579402
Reggio Calabria,10.133390705679862
Aosta,10.011918951132301
Bari,8.812981215358764
Foggia,8.552741908435351
Napoli Vanvitelli,8.435966293175294
Catanzaro,8.284409654272668
Sassari,8.053800032409658
Bergamo,6.498458966724129
Salerno,6.160145586897179
Insubria,5.299130126042961
Casamassima - G.Degennaro,4.768125408229915
Napoli Federico II,4.361945124803919
Sannio,3.9946380697050943
Salento,3.8604389420371414
Catania,3.357307712951532
Brescia,2.7608829358299736
Palermo,2.556252126160276
Napoli Parthenope,2.4915269762755337
Basilicata,2.48589562764457
Napoli Benincasa,1.7895235837876273
